"Title","TotalCoin","TotalWechat","TotalManual","TotalRun","NoColdRun","NoWarmRun","NoHotRun","NoOtherRun","ActualTotalRunTime","ActualTotalRunTimeTop","ActualTotalRunTimeBot","ExpectedTotalRunTime","myDate"
"BBB-W1",0,0,0,0,0,0,0,0,0,0,0,0,"24/12/2018"
"BBB-W2",6,0,0,1,0,0,0,6,24,0,0,25,"24/12/2018"
"BBB-D1",0,0,0,0,0,0,0,0,0,0,0,0,"24/12/2018"
"BBB-D2",4,0,0,1,0,0,0,0,23,0,0,20,"24/12/2018"
"BBB-W1",62,0,0,6,0,0,0,6,151,0,0,150,"25/12/2018"
"BBB-W2",71,0,0,11,0,7,3,7,267,0,0,275,"25/12/2018"
"BBB-D1",26.5,0,0,7,0,0,0,0,152,0,0,132.5,"25/12/2018"
"BBB-D2",37.5,0,0,10,0,0,0,0,214,0,0,187.5,"25/12/2018"
"BBB-W1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-W2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-W1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-W2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-W1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-W2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-W1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-W2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D1",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
"BBB-D2",0,0,0,0,0,0,0,0,0,0,0,0,"26/12/2018"
