"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","status","date","startTime","endTime","machine"
1,"BBB-D2","NA","0:38:30",6.5,0,0,"SUCCESS","24/12/2018","24/12/2018 23:09:56","24/12/2018 23:48:26","82cbe600a97858996a97ff1eccb7090c"
1,"BBB-W2","NA","0:25:4",7,0,0,"SUCCESS","25/12/2018","25/12/2018 00:41:26","25/12/2018 01:06:30","19c1bd29f764c537a988aa5bfbbad44f"
2,"BBB-W2","NA","0:25:0",6,0,0,"SUCCESS","25/12/2018","25/12/2018 01:45:54","25/12/2018 02:10:54","19c1bd29f764c537a988aa5bfbbad44f"
1,"BBB-W1","NA","0:25:35",10,0,0,"SUCCESS","25/12/2018","25/12/2018 07:49:25","25/12/2018 08:15:00","ac50337b17f6d2c2962d671e440acfbd"
2,"BBB-D2","NA","0:23:30",4,0,0,"SUCCESS","25/12/2018","25/12/2018 09:18:10","25/12/2018 09:41:40","82cbe600a97858996a97ff1eccb7090c"
2,"BBB-W1","NA","0:25:43",12,0,0,"SUCCESS","25/12/2018","25/12/2018 09:22:24","25/12/2018 09:48:07","ac50337b17f6d2c2962d671e440acfbd"
3,"BBB-W2","NA","0:24:54",6,0,0,"SUCCESS","25/12/2018","25/12/2018 09:24:05","25/12/2018 09:48:59","19c1bd29f764c537a988aa5bfbbad44f"
1,"BBB-D1","NA","0:23:29",4,0,0,"SUCCESS","25/12/2018","25/12/2018 09:58:41","25/12/2018 10:22:10","63edb3e28d1612b23b4ae71e8b4e97ec"
4,"BBB-W2","NA","0:24:59",8,0,0,"SUCCESS","25/12/2018","25/12/2018 10:17:33","25/12/2018 10:42:32","19c1bd29f764c537a988aa5bfbbad44f"
3,"BBB-W1","NA","0:25:44",10,0,0,"SUCCESS","25/12/2018","25/12/2018 10:26:06","25/12/2018 10:51:50","ac50337b17f6d2c2962d671e440acfbd"
5,"BBB-W2","NA","0:25:0",7,0,0,"SUCCESS","25/12/2018","25/12/2018 12:16:17","25/12/2018 12:41:17","19c1bd29f764c537a988aa5bfbbad44f"
2,"BBB-D1","NA","0:23:30",4,0,0,"SUCCESS","25/12/2018","25/12/2018 12:37:40","25/12/2018 13:01:10","63edb3e28d1612b23b4ae71e8b4e97ec"
6,"BBB-W2","NA","0:24:55",6,0,0,"SUCCESS","25/12/2018","25/12/2018 13:50:09","25/12/2018 14:15:04","19c1bd29f764c537a988aa5bfbbad44f"
4,"BBB-W1","NA","0:25:44",10,0,0,"SUCCESS","25/12/2018","25/12/2018 13:56:55","25/12/2018 14:22:39","ac50337b17f6d2c2962d671e440acfbd"
3,"BBB-D2","NA","0:26:37",5.5,0,0,"SUCCESS","25/12/2018","25/12/2018 14:31:00","25/12/2018 14:57:37","82cbe600a97858996a97ff1eccb7090c"
4,"BBB-D2","NA","0:4:25",0,0,0,"SUCCESS","25/12/2018","25/12/2018 14:58:21","25/12/2018 15:02:46","82cbe600a97858996a97ff1eccb7090c"
3,"BBB-D1","NA","0:26:29",4.5,0,0,"SUCCESS","25/12/2018","25/12/2018 14:44:04","25/12/2018 15:10:33","63edb3e28d1612b23b4ae71e8b4e97ec"
7,"BBB-W2","NA","0:24:54",6,0,0,"SUCCESS","25/12/2018","25/12/2018 14:57:11","25/12/2018 15:22:05","19c1bd29f764c537a988aa5bfbbad44f"
5,"BBB-D2","NA","0:25:39",5.5,0,0,"SUCCESS","25/12/2018","25/12/2018 15:08:03","25/12/2018 15:33:42","82cbe600a97858996a97ff1eccb7090c"
6,"BBB-D2","NA","0:0:29",0,0,0,"SUCCESS","25/12/2018","25/12/2018 15:34:15","25/12/2018 15:34:44","82cbe600a97858996a97ff1eccb7090c"
7,"BBB-D2","NA","0:5:6",0,0,0,"SUCCESS","25/12/2018","25/12/2018 15:35:25","25/12/2018 15:40:31","82cbe600a97858996a97ff1eccb7090c"
8,"BBB-W2","NA","0:24:58",6,0,0,"SUCCESS","25/12/2018","25/12/2018 16:14:07","25/12/2018 16:39:05","19c1bd29f764c537a988aa5bfbbad44f"
5,"BBB-W1","NA","0:26:14",10,0,0,"SUCCESS","25/12/2018","25/12/2018 16:12:53","25/12/2018 16:39:07","ac50337b17f6d2c2962d671e440acfbd"
